spot_name,href,full_url,spot_type,lat,lng,county,id
Sand Dollar Beach,/breaks/Sand-Dollar-Beach,https://www.surf-forecast.com/breaks/Sand-Dollar-Beach,Beach,35.9242,-121.4706,Monterey County,5842041f4e65fad6a7708bb1
Spanish Bay-Cobblestones,/breaks/Spanish-Bay-Cobblestones,https://www.surf-forecast.com/breaks/Spanish-Bay-Cobblestones,Beach,36.6177,-121.9456,Monterey County,640a68674eb37526c79e2a75
Carmel Beach,/breaks/Carmel-Beach,https://www.surf-forecast.com/breaks/Carmel-Beach,Sandbar,36.5533,-121.932,Monterey County,5842041f4e65fad6a7708bb3
Marina,/breaks/Marina-1,https://www.surf-forecast.com/breaks/Marina-1,Beach,36.7024,-121.8204,Monterey County,5842041f4e65fad6a7708941
Del Monte Beach,/breaks/Del-Monte-Beach,https://www.surf-forecast.com/breaks/Del-Monte-Beach,Sandbar,36.603,-121.8827,Monterey County,584204214e65fad6a7709d1f
Marina State Beach,/breaks/Marina-State-Beach,https://www.surf-forecast.com/breaks/Marina-State-Beach,Beach,36.7472,-121.8092,Monterey County,5842041f4e65fad6a7708941
Spanish Bay-South Moss,/breaks/Spanish-Bay-South-Moss,https://www.surf-forecast.com/breaks/Spanish-Bay-South-Moss,Beach,36.6151,-121.9485,Monterey County,5842041f4e65fad6a7708bbf
Moss Landing,/breaks/Moss-Landing,https://www.surf-forecast.com/breaks/Moss-Landing,Beach,36.8146,-121.7941,Monterey County,5842041f4e65fad6a7708bbf
Garrapata,/breaks/Garrapata,https://www.surf-forecast.com/breaks/Garrapata,Beach,36.4254,-121.9294,Monterey County,5842041f4e65fad6a7708bb4
Salinas River State Beach,/breaks/Salinas-River-State-Beach,https://www.surf-forecast.com/breaks/Salinas-River-State-Beach,Beach,36.8018,-121.7927,Monterey County,640a43cd606c459a04b1ac93
Zmudowski State Beach,/breaks/Zmudowski-State-Beach,https://www.surf-forecast.com/breaks/Zmudowski-State-Beach,Beach,36.8213,-121.7976,Monterey County,584204204e65fad6a770998c
